time,X_d,X,Y_d,Y,Z_d,Z,Yaw_d,Yaw
35.88,0.000000,-0.005257,0.000000,0.008419,3.000000,2.846178,1.000000,0.143618
35.93,0.000000,-0.007906,0.000000,0.017163,3.000000,2.853410,1.000000,0.148347
35.98,0.000000,0.001599,0.000000,0.006619,3.000000,2.884700,1.000000,0.153592
36.03,0.000000,-0.007043,0.000000,0.013436,3.000000,2.848252,1.000000,0.158771
36.08,0.000000,-0.004805,0.000000,0.018270,3.000000,2.861725,1.000000,0.168879
36.13,0.000000,-0.003635,0.000000,0.018600,3.000000,2.882617,1.000000,0.175164
36.18,0.000000,-0.010637,0.000000,0.018394,3.000000,2.857789,1.000000,0.175691
36.23,0.000000,-0.016029,0.000000,0.007902,3.000000,2.916046,1.000000,0.183576
36.28,0.000000,-0.005825,0.000000,0.009755,3.000000,2.888451,1.000000,0.187844
36.33,0.000000,-0.008630,0.000000,0.012646,3.000000,2.865567,1.000000,0.197210
36.38,0.000000,-0.003373,0.000000,0.017226,3.000000,2.873884,1.000000,0.205144
36.43,0.000000,0.002683,0.000000,0.011508,3.000000,2.876446,1.000000,0.210274
36.48,0.000000,0.001571,0.000000,0.008140,3.000000,2.890404,1.000000,0.216525
36.53,0.000000,0.005548,0.000000,0.007450,3.000000,2.931466,1.000000,0.220453
36.58,0.000000,-0.000468,0.000000,0.004906,3.000000,2.894029,1.000000,0.226161
36.63,0.000000,-0.003625,0.000000,0.007573,3.000000,2.909009,1.000000,0.234745
36.68,0.000000,0.002652,0.000000,0.011149,3.000000,2.925726,1.000000,0.241574
36.73,0.000000,-0.000371,0.000000,0.010000,3.000000,2.929360,1.000000,0.246737
36.78,0.000000,0.005241,0.000000,0.013493,3.000000,2.932473,1.000000,0.250335
36.83,0.000000,0.006465,0.000000,0.013365,3.000000,2.929982,1.000000,0.258737
36.88,0.000000,-0.001808,0.000000,0.008632,3.000000,2.919222,1.000000,0.263992
36.93,0.000000,0.002845,0.000000,0.016587,3.000000,2.965258,1.000000,0.269632
36.98,0.000000,0.003784,0.000000,0.010077,3.000000,2.934811,1.000000,0.275802
37.03,0.000000,-0.007982,0.000000,0.014860,3.000000,2.990701,1.000000,0.281008
37.08,0.000000,0.002573,0.000000,0.018545,3.000000,2.956000,1.000000,0.285176
37.13,0.000000,0.000238,0.000000,0.008965,3.000000,2.945508,1.000000,0.288656
37.18,0.000000,0.009925,0.000000,0.008017,3.000000,2.930448,1.000000,0.298401
37.23,0.000000,0.007182,0.000000,0.015465,3.000000,2.929456,1.000000,0.305261
37.28,0.000000,-0.002615,0.000000,0.009272,3.000000,2.943269,1.000000,0.309460
37.33,0.000000,0.000580,0.000000,0.012233,3.000000,2.961529,1.000000,0.313083
37.38,0.000000,-0.000233,0.000000,0.009564,3.000000,2.952667,1.000000,0.318721
37.43,0.000000,-0.002959,0.000000,0.012886,3.000000,2.942840,1.000000,0.326373
37.48,0.000000,0.001901,0.000000,0.009010,3.000000,2.989592,1.000000,0.332349
37.53,0.000000,0.002837,0.000000,0.009420,3.000000,2.986417,1.000000,0.336082
37.58,0.000000,-0.004132,0.000000,0.009668,3.000000,2.951408,1.000000,0.340418
37.63,0.000000,0.000853,0.000000,0.023557,3.000000,2.960100,1.000000,0.344214
37.68,0.000000,0.003463,0.000000,0.010792,3.000000,2.951092,1.000000,0.348344
37.73,0.000000,0.013675,0.000000,0.005435,3.000000,2.968090,1.000000,0.355692
37.78,0.000000,0.007996,0.000000,0.011815,3.000000,2.993178,1.000000,0.363734
37.83,0.000000,0.001802,0.000000,0.012790,3.000000,2.988270,1.000000,0.368330
37.88,0.000000,0.004623,0.000000,0.014342,3.000000,2.954832,1.000000,0.371485
37.93,0.000000,0.006911,0.000000,0.008988,3.000000,3.015325,1.000000,0.376855
37.98,0.000000,0.000648,0.000000,0.018526,3.000000,2.962438,1.000000,0.384456
38.03,0.000000,0.000722,0.000000,0.007485,3.000000,2.944532,1.000000,0.388427
38.08,0.000000,0.004206,0.000000,0.017589,3.000000,2.990359,1.000000,0.391670
38.13,0.000000,-0.000400,0.000000,0.016877,3.000000,3.002528,1.000000,0.398044
38.18,0.000000,-0.000673,0.000000,0.022021,3.000000,3.000102,1.000000,0.402010
38.23,0.000000,0.002354,0.000000,0.016154,3.000000,2.978747,1.000000,0.407129
38.28,0.000000,0.003777,0.000000,0.020670,3.000000,2.975746,1.000000,0.414497
38.33,0.000000,-0.001378,0.000000,0.015967,3.000000,3.005382,1.000000,0.418610
38.39,0.000000,0.001256,0.000000,0.022065,3.000000,3.000063,1.000000,0.422387
38.44,0.000000,-0.000339,0.000000,0.022637,3.000000,2.982079,1.000000,0.427672
38.49,0.000000,0.008981,0.000000,0.013085,3.000000,3.005845,1.000000,0.430909
38.54,0.000000,0.025377,0.000000,0.018087,3.000000,3.020536,1.000000,0.436370
38.59,0.000000,0.007992,0.000000,0.020576,3.000000,2.993689,1.000000,0.443116
38.64,0.000000,0.009198,0.000000,0.011238,3.000000,3.015248,1.000000,0.447773
38.69,0.000000,0.011127,0.000000,0.011589,3.000000,3.001899,1.000000,0.451224
38.74,0.000000,-0.002614,0.000000,0.016172,3.000000,3.010177,1.000000,0.457201
38.79,0.000000,-0.000382,0.000000,0.013138,3.000000,2.990527,1.000000,0.459210
38.84,0.000000,0.002307,0.000000,0.004839,3.000000,3.003911,1.000000,0.468118
38.89,0.000000,-0.003521,0.000000,0.012301,3.000000,2.978351,1.000000,0.473736
38.94,0.000000,0.012937,0.000000,0.014795,3.000000,2.995413,1.000000,0.475706
38.99,0.000000,0.001271,0.000000,0.019597,3.000000,3.018208,1.000000,0.479614
39.04,0.000000,0.005715,0.000000,0.017963,3.000000,3.021601,1.000000,0.482323
